Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
T,1,9,9,28,
T,2,9,9,15,
T,3,9,9,18,
T,4,9,9,23,
T,5,9,9,10,
W,1,9,10,7,
W,2,9,10,28,
W,3,9,10,,h
W,4,9,10,20,
W,5,9,10,12,
W,1,9,11,6,
W,2,9,11,15,
W,3,9,11,19,
W,4,9,11,17,
W,5,9,11,7,
W,1,9,12,15,
W,2,9,12,20,
W,3,9,12,11,
W,4,9,12,23,
W,5,9,12,16,
W,1,9,13,7,
W,2,9,13,7,
W,3,9,13,10,
W,4,9,13,10,
W,5,9,13,7,
W,1,9,14,8,
W,2,9,14,15,
W,1,9,15,15,
W,2,9,15,13,
W,3,9,15,,h
W,4,9,15,13,
W,5,9,15,5,
W,1,9,16,11,
W,2,9,16,8,
W,3,9,16,7,
W,4,9,16,6,
W,5,9,16,14,
M,1,10,1,15,
M,2,10,1,21,
M,3,10,1,28,
M,4,10,1,13,
M,5,10,1,50,
M,1,10,2,14,
M,2,10,2,47,
M,3,10,2,21,
M,1,10,3,12,
M,2,10,3,60,s
M,3,10,3,10,
M,4,10,3,12,
M,5,10,3,24,
M,1,10,4,12,
M,2,10,4,24,
M,4,10,4,7,
M,5,10,4,24,
M,1,10,5,12,
M,2,10,5,30,
M,3,10,5,26,
M,4,10,5,,h
M,5,10,5,19,
T,1,10,6,12,
T,2,10,6,10,
T,3,10,6,14,
T,4,10,6,12,
T,5,10,6,12,
T,1,10,7,15,
T,2,10,7,9,
T,1,10,8,13,
T,2,10,8,13,
T,3,10,8,14,
T,4,10,8,,h
T,5,10,8,17,
T,1,10,9,22,
T,2,10,9,14,
T,3,10,9,,h
T,4,10,9,,h
T,5,10,9,25,
W,1,10,10,13,
W,2,10,10,35,
W,3,10,10,12,
W,4,10,10,12,
W,5,10,10,11,
W,1,10,11,13,
W,2,10,11,27,
W,3,10,11,7,
W,4,10,11,22,
W,5,10,11,21,
W,1,10,12,12,
W,2,10,12,33,
W,3,10,12,,h
W,4,10,12,16,
W,5,10,12,17,
W,1,10,13,21,
W,2,10,13,16,
W,3,10,13,12,
W,4,10,13,8,
W,5,10,13,8,
W,1,10,14,13,
W,2,10,14,25,
W,1,10,15,8,
W,2,10,15,24,
W,3,10,15,19,
W,4,10,15,35,
W,5,10,15,7,
W,1,10,16,9,
W,2,10,16,5,
W,3,10,16,8,
W,4,10,16,3,
W,5,10,16,5,
M,1,11,1,19,
M,2,11,1,60,s
M,3,11,1,21,
M,4,11,1,27,
M,5,11,1,39,
M,1,11,2,22,
M,2,11,2,60,s
M,3,11,2,34,
M,1,11,3,28,
M,2,11,3,48,
M,3,11,3,14,
M,4,11,3,27,
M,5,11,3,18,
M,1,11,4,12,
M,2,11,4,38,
M,4,11,4,18,
M,5,11,4,,h
M,1,11,5,18,
M,2,11,5,59,
M,3,11,5,,h
M,4,11,5,,h
M,5,11,5,,h
T,1,11,6,12,
T,2,11,6,19,
T,3,11,6,,h
T,4,11,6,,h
T,5,11,6,22,
T,1,11,7,11,
T,2,11,7,16,
T,1,11,8,10,
T,2,11,8,9,
T,3,11,8,10,
T,4,11,8,7,
T,5,11,8,,g
T,1,11,9,18,
T,2,11,9,24,
T,3,11,9,15,
T,4,11,9,11,
T,5,11,9,34,
W,1,11,10,10,
W,2,11,10,17,
W,3,11,10,14,
W,4,11,10,27,
W,5,11,10,14,
W,1,11,11,10,
W,2,11,11,26,
W,3,11,11,,h
W,4,11,11,32,
W,5,11,11,38,
W,1,11,12,15,
W,2,11,12,28,
W,3,11,12,16,
W,4,11,12,13,
W,5,11,12,9,
W,1,11,13,10,
W,2,11,13,23,
W,3,11,13,15,
W,4,11,13,7,
W,5,11,13,18,
W,1,11,14,8,
W,2,11,14,14,
W,1,11,15,17,
W,2,11,15,22,
W,3,11,15,14,
W,4,11,15,,h
W,5,11,15,14,
W,1,11,16,8,
W,2,11,16,16,
W,3,11,16,18,
W,4,11,16,4,
W,5,11,16,,g
M,1,12,1,8,
M,2,12,1,60,s
M,3,12,1,,h
M,4,12,1,57,
M,5,12,1,,h
M,1,12,2,7,
M,2,12,2,55,
M,3,12,2,,h
M,1,12,3,60,s
M,2,12,3,60,s
M,3,12,3,,h
M,4,12,3,58,
M,5,12,3,,h
M,1,12,4,7,
M,2,12,4,41,
M,4,12,4,,h
M,5,12,4,12,
M,1,12,5,60,s
M,2,12,5,50,
M,3,12,5,7,
M,4,12,5,30,
M,5,12,5,12,
T,1,12,6,12,
T,2,12,6,8,
T,3,12,6,23,
